LOCATION,INDICATOR,SUBJECT,MEASURE,FREQUENCY,TIME,Value,Flag Codes
AUS,HOUSECOST,REAL,IDX2015,A,2000,48.70129302,
AUS,HOUSECOST,REAL,IDX2015,A,2001,52.38500535,
AUS,HOUSECOST,REAL,IDX2015,A,2002,60.45234079,
AUS,HOUSECOST,REAL,IDX2015,A,2003,69.75243798,
AUS,HOUSECOST,REAL,IDX2015,A,2004,73.02463598,
AUS,HOUSECOST,REAL,IDX2015,A,2005,72.78873621,
AUS,HOUSECOST,REAL,IDX2015,A,2006,75.10040091,
AUS,HOUSECOST,REAL,IDX2015,A,2007,80.49134879,
AUS,HOUSECOST,REAL,IDX2015,A,2008,81.12349215,
AUS,HOUSECOST,REAL,IDX2015,A,2009,82.24818694,
AUS,HOUSECOST,REAL,IDX2015,A,2010,89.88568654,
AUS,HOUSECOST,REAL,IDX2015,A,2011,85.8954616,
AUS,HOUSECOST,REAL,IDX2015,A,2012,83.60087505,
AUS,HOUSECOST,REAL,IDX2015,A,2013,87.02693309,
AUS,HOUSECOST,REAL,IDX2015,A,2014,93.09164656,
AUS,HOUSECOST,REAL,IDX2015,A,2015,100,
AUS,HOUSECOST,REAL,IDX2015,A,2016,104.5168735,
AUS,HOUSECOST,REAL,IDX2015,A,2017,111.8042829,
AUS,HOUSECOST,REAL,IDX2015,A,2018,108.4180465,
AUS,HOUSECOST,REAL,IDX2015,A,2019,102.1740785,
AUT,HOUSECOST,REAL,IDX2015,A,2000,78.14842006,
AUT,HOUSECOST,REAL,IDX2015,A,2001,77.00667172,
AUT,HOUSECOST,REAL,IDX2015,A,2002,76.5988195,
AUT,HOUSECOST,REAL,IDX2015,A,2003,75.65275578,
AUT,HOUSECOST,REAL,IDX2015,A,2004,72.91806334,
AUT,HOUSECOST,REAL,IDX2015,A,2005,74.75615587,
AUT,HOUSECOST,REAL,IDX2015,A,2006,76.25125954,
AUT,HOUSECOST,REAL,IDX2015,A,2007,77.88766746,
AUT,HOUSECOST,REAL,IDX2015,A,2008,77.09909124,
AUT,HOUSECOST,REAL,IDX2015,A,2009,79.72982935,
AUT,HOUSECOST,REAL,IDX2015,A,2010,85.74464768,
AUT,HOUSECOST,REAL,IDX2015,A,2011,88.37565619,
AUT,HOUSECOST,REAL,IDX2015,A,2012,92.59043172,
AUT,HOUSECOST,REAL,IDX2015,A,2013,95.37375356,
AUT,HOUSECOST,REAL,IDX2015,A,2014,96.7685684,
AUT,HOUSECOST,REAL,IDX2015,A,2015,100,
AUT,HOUSECOST,REAL,IDX2015,A,2016,107.0430215,
AUT,HOUSECOST,REAL,IDX2015,A,2017,110.5003403,
AUT,HOUSECOST,REAL,IDX2015,A,2018,113.3200609,
AUT,HOUSECOST,REAL,IDX2015,A,2019,117.931527,
BEL,HOUSECOST,REAL,IDX2015,A,2000,65.71780226,
BEL,HOUSECOST,REAL,IDX2015,A,2001,67.32971125,
BEL,HOUSECOST,REAL,IDX2015,A,2002,70.90156651,
BEL,HOUSECOST,REAL,IDX2015,A,2003,74.67232391,
BEL,HOUSECOST,REAL,IDX2015,A,2004,79.17410327,
BEL,HOUSECOST,REAL,IDX2015,A,2005,85.96644112,
BEL,HOUSECOST,REAL,IDX2015,A,2006,91.82382091,
BEL,HOUSECOST,REAL,IDX2015,A,2007,96.40081035,
BEL,HOUSECOST,REAL,IDX2015,A,2008,97.56265945,
BEL,HOUSECOST,REAL,IDX2015,A,2009,97.90443161,
BEL,HOUSECOST,REAL,IDX2015,A,2010,99.10963831,
BEL,HOUSECOST,REAL,IDX2015,A,2011,100.237315,
BEL,HOUSECOST,REAL,IDX2015,A,2012,100.4530082,
BEL,HOUSECOST,REAL,IDX2015,A,2013,100.5615915,
BEL,HOUSECOST,REAL,IDX2015,A,2014,99.26255895,
BEL,HOUSECOST,REAL,IDX2015,A,2015,100,
BEL,HOUSECOST,REAL,IDX2015,A,2016,101.1920248,
BEL,HOUSECOST,REAL,IDX2015,A,2017,102.8629676,
BEL,HOUSECOST,REAL,IDX2015,A,2018,103.8669277,
BEL,HOUSECOST,REAL,IDX2015,A,2019,106.5317887,
CAN,HOUSECOST,REAL,IDX2015,A,2000,50.01227326,
CAN,HOUSECOST,REAL,IDX2015,A,2001,51.30431408,
CAN,HOUSECOST,REAL,IDX2015,A,2002,54.37360303,
CAN,HOUSECOST,REAL,IDX2015,A,2003,57.93012037,
CAN,HOUSECOST,REAL,IDX2015,A,2004,61.74931349,
CAN,HOUSECOST,REAL,IDX2015,A,2005,65.61204735,
CAN,HOUSECOST,REAL,IDX2015,A,2006,72.38456105,
CAN,HOUSECOST,REAL,IDX2015,A,2007,79.52841519,
CAN,HOUSECOST,REAL,IDX2015,A,2008,82.64878839,
CAN,HOUSECOST,REAL,IDX2015,A,2009,80.20835672,
CAN,HOUSECOST,REAL,IDX2015,A,2010,86.207828,
CAN,HOUSECOST,REAL,IDX2015,A,2011,88.61098446,
CAN,HOUSECOST,REAL,IDX2015,A,2012,91.69544797,
CAN,HOUSECOST,REAL,IDX2015,A,2013,92.8169076,
CAN,HOUSECOST,REAL,IDX2015,A,2014,95.86439264,
CAN,HOUSECOST,REAL,IDX2015,A,2015,100,
CAN,HOUSECOST,REAL,IDX2015,A,2016,109.037853,
CAN,HOUSECOST,REAL,IDX2015,A,2017,120.9087382,
CAN,HOUSECOST,REAL,IDX2015,A,2018,123.6930858,
CAN,HOUSECOST,REAL,IDX2015,A,2019,123.06919,
CZE,HOUSECOST,REAL,IDX2015,A,2008,107.8455697,
CZE,HOUSECOST,REAL,IDX2015,A,2009,102.8034842,
CZE,HOUSECOST,REAL,IDX2015,A,2010,100.5371275,
CZE,HOUSECOST,REAL,IDX2015,A,2011,98.8447774,
CZE,HOUSECOST,REAL,IDX2015,A,2012,95.29315823,
CZE,HOUSECOST,REAL,IDX2015,A,2013,94.517759,
CZE,HOUSECOST,REAL,IDX2015,A,2014,96.26146655,
CZE,HOUSECOST,REAL,IDX2015,A,2015,100,
CZE,HOUSECOST,REAL,IDX2015,A,2016,106.5575219,
CZE,HOUSECOST,REAL,IDX2015,A,2017,116.2951767,
CZE,HOUSECOST,REAL,IDX2015,A,2018,123.4680671,
CZE,HOUSECOST,REAL,IDX2015,A,2019,130.9036098,
DNK,HOUSECOST,REAL,IDX2015,A,2000,72.92618066,
DNK,HOUSECOST,REAL,IDX2015,A,2001,75.42332754,
DNK,HOUSECOST,REAL,IDX2015,A,2002,76.72742307,
DNK,HOUSECOST,REAL,IDX2015,A,2003,78.21978948,
DNK,HOUSECOST,REAL,IDX2015,A,2004,84.20728794,
DNK,HOUSECOST,REAL,IDX2015,A,2005,98.15349636,
DNK,HOUSECOST,REAL,IDX2015,A,2006,119.1930609,
DNK,HOUSECOST,REAL,IDX2015,A,2007,120.3224848,
DNK,HOUSECOST,REAL,IDX2015,A,2008,110.9162841,
DNK,HOUSECOST,REAL,IDX2015,A,2009,96.38654874,
DNK,HOUSECOST,REAL,IDX2015,A,2010,96.69546076,
DNK,HOUSECOST,REAL,IDX2015,A,2011,92.87825419,
DNK,HOUSECOST,REAL,IDX2015,A,2012,88.28456311,
DNK,HOUSECOST,REAL,IDX2015,A,2013,90.98505375,
DNK,HOUSECOST,REAL,IDX2015,A,2014,93.85079613,
DNK,HOUSECOST,REAL,IDX2015,A,2015,100,
DNK,HOUSECOST,REAL,IDX2015,A,2016,105.088275,
DNK,HOUSECOST,REAL,IDX2015,A,2017,108.4993156,
DNK,HOUSECOST,REAL,IDX2015,A,2018,112.2937179,
DNK,HOUSECOST,REAL,IDX2015,A,2019,113.6365167,
FIN,HOUSECOST,REAL,IDX2015,A,2000,76.80651354,
FIN,HOUSECOST,REAL,IDX2015,A,2001,73.71835103,
FIN,HOUSECOST,REAL,IDX2015,A,2002,76.87980838,
FIN,HOUSECOST,REAL,IDX2015,A,2003,80.94930415,
FIN,HOUSECOST,REAL,IDX2015,A,2004,87.30744965,
FIN,HOUSECOST,REAL,IDX2015,A,2005,93.23079165,
FIN,HOUSECOST,REAL,IDX2015,A,2006,98.35372541,
FIN,HOUSECOST,REAL,IDX2015,A,2007,102.185977,
FIN,HOUSECOST,REAL,IDX2015,A,2008,99.62351261,
FIN,HOUSECOST,REAL,IDX2015,A,2009,99.17221864,
FIN,HOUSECOST,REAL,IDX2015,A,2010,103.9482286,
FIN,HOUSECOST,REAL,IDX2015,A,2011,103.8112162,
FIN,HOUSECOST,REAL,IDX2015,A,2012,103.3876113,
